id,frequency
ZN,959
ADP,113
MN,644
CTP,30
BU3,3
68Z,1
CA,759
MGT,5
GTP,93
NAD,7
8OG,210
K,259
IOD,73
ATP,90
S8U,3
ACT,185
8AZ,11
IHP,14
NA,952
GOA,16
EPE,129
DTT,56
DTP,159
TTP,102
PTR,36
TTG,3
TTC,3
APC,19
3DR,136
DOC,247
DCP,121
KBQ,1
GTA,5
TO1,1
MES,51
AKG,31
2YR,24
6MA,31
DPO,73
MPD,66
N2S,1
N2W,1
FMG,10
0G6,18
NAG,21
PEG,125
FDA,11
XG4,62
PPV,107
IMD,24
IL0,1
GFH,5
ALF,21
TRS,42
DAL,5
FGA,5
CFL,5
UDP,15
A9Z,5
A5L,3
MUB,5
SAH,94
C49,12
AMP,78
DMS,16
5IU,25
DGT,130
AF,5
2DA,32
S96,1
1PE,27
HPA,16
64P,1
Z,3
FAD,34
5CM,152
2DT,29
LMS,1
UNX,44
CSX,2
6HT,4
6HG,3
HEZ,12
XZ4,1
G1C,2
GFF,3
TMP,19
FES,1
C42,17
F2A,11
C79,1
PYO,18
8NI,18
7BG,6
D3T,16
NML,1
FLU,1
U5P,2
PGP,1
A1LWH,1
QUI,18
NCY,18
N2C,16
DSN,20
MVA,28
IPA,26
M3L,4
92F,3
0KX,55
NH4,24
VA4,1
DCT,42
SR,5
SM,6
1CC,10
1FZ,24
SFG,10
NCA,2
APR,1
3CO,3
ANP,34
FMT,44
GUN,3
IGU,10
JSP,7
1WA,11
1W5,10
PGO,9
DTU,1
HG,9
DJJ,2
FF7,1
CS,5
91N,3
S8L,1
OMU,13
RB,11
GH3,6
NT,1
B7P,4
BU1,5
2TM,8
G46,2
FE2,16
DU,57
8DG,19
Y5U,1
UMC,2
P,4
GNE,7
9DG,2
N,7
5BU,10
TX2,7
8GT,10
CPT,15
PGE,76
FHU,8
PG4,32
LI,5
8GM,10
SIN,11
MA7,15
A1BA3,1
BA,8
COA,1
6MI,2
SF4,60
A1EJT,2
B12,3
DDG,63
365,1
CPF,2
CIT,30
BR,10
DI,36
SAM,29
2MU,1
TTD,26
LU,2
PO3,3
POP,26
REK,1
MRG,19
0L6,1
B3P,6
A2M,22
M7G,11
TSP,5
ACY,20
CMP,16
96I,1
DIO,17
BRU,60
PXZ,13
DM2,1
DVA,17
SAR,18
CSD,4
CO,28
ML3,1
CSO,11
MAN,8
SQ0,6
OMG,17
ORP,32
YTA,3
GDP,13
ME6,10
CTI,1
OS,3
6OO,2
UFT,12
6NW,3
IPH,20
6OP,1
F2T,3
RFJ,4
A1CAK,2
AF2,5
GF2,4
A1CAL,1
OKT,2
G1M,1
T8Q,1
G2C,1
DUP,48
SEY,1
GTG,1
DG3,19
QBT,4
THM,4
O2C,3
M1G,2
YYY,1
MRC,3
CFZ,6
G88,1
BMA,3
OHU,4
AAB,12
DAD,5
PED,25
ANG,2
GCP,2
YB,1
ADI,2
A1ANT,1
BTZ,1
EDC,2
0L7,1
UFP,2
2PR,15
A9Y,1
JHN,2
91T,1
91R,1
GX1,1
TPO,2
HN0,2
6BX,1
PG0,4
SPM,8
HPD,5
8CP,2
2PN,2
2ZZ,1
D4B,6
D4T,9
A1ADB,1
0PY,1
OMC,38
CAR,11
VT8,1
BGM,7
EDA,12
F3A,1
SDH,1
4DU,6
GS,7
UTP,12
ALY,7
IMP,1
2RW,1
A38,11
VKJ,2
BGC,1
FLC,11
MLZ,4
PSU,23
G7M,4
H2U,17
AET,1
5MU,21
7DA,3
N5P,3
MLI,9
OGA,10
SEP,9
TGP,4
6FM,3
5GP,12
PYB,3
ABU,3
IMT,3
BAL,3
OGG,1
DIB,3
1RZ,6
MB8,1
2TL,1
0QZ,1
FGL,1
2RA,1
R2T,1
02I,3
NI,26
25L,2
6CF,8
2KH,8
CAC,17
RU7,2
BEF,26
1MA,9
CD,12
MMC,2
UNK,4
DN,1
XZ2,1
4BD,1
GNP,6
1GC,8
NMN,2
7GU,4
TS6,2
PLR,5
DZ4,41
YQS,2
GSU,3
OXD,1
FOX,7
A1L89,2
19C,1
XB9,3
CCC,6
NCO,22
6OG,22
3D1,5
0L4,1
F3C,2
FF4,1
2HP,8
EOH,7
OXG,2
TCP,2
MHF,1
TTW,2
XTE,2
FOR,3
PE8,1
6MZ,15
G2P,4
NO3,9
HHZ,2
CME,9
MFX,3
TAI,1
SGT,1
A1LWE,1
15P,2
HXZ,1
LHO,6
BMN,6
A1CZ4,1
A1U,1
PE4,3
U3H,2
CH1,6
GAU,2
VAA,2
5CY,5
G47,12
1RY,6
K39,1
N7X,3
K2F,1
PST,10
OKN,1
AS,10
V3A,1
GLC,3
OH,2
OWR,3
RFE,2
A23,14
CAS,4
94K,1
6EJ,3
